areaCode,areaName,areaType,date,totalDeaths,hospitalCases,newCasesByPublishDate
E92000001,England,nation,2022-07-13,,13741.0,171877.0
E92000001,England,nation,2022-07-12,,13621.0,0.0
E92000001,England,nation,2022-07-11,,13336.0,0.0
E92000001,England,nation,2022-07-10,,12879.0,0.0
E92000001,England,nation,2022-07-09,,12440.0,0.0
E92000001,England,nation,2022-07-08,,12283.0,0.0
E92000001,England,nation,2022-07-07,,11878.0,0.0
E92000001,England,nation,2022-07-06,,11465.0,120170.0
E92000001,England,nation,2022-07-05,,11049.0,0.0
E92000001,England,nation,2022-07-04,,10658.0,0.0
E92000001,England,nation,2022-07-03,,9956.0,0.0
E92000001,England,nation,2022-07-02,,9632.0,0.0
E92000001,England,nation,2022-07-01,21.0,9389.0,20731.0
E92000001,England,nation,2022-06-30,28.0,8928.0,21732.0
E92000001,England,nation,2022-06-29,40.0,8587.0,21428.0
E92000001,England,nation,2022-06-28,37.0,8120.0,21415.0
E92000001,England,nation,2022-06-27,39.0,7822.0,47332.0
E92000001,England,nation,2022-06-26,42.0,7455.0,0.0
E92000001,England,nation,2022-06-25,46.0,6973.0,0.0
E92000001,England,nation,2022-06-24,31.0,6752.0,16489.0
E92000001,England,nation,2022-06-23,37.0,6401.0,17481.0
E92000001,England,nation,2022-06-22,48.0,6177.0,17202.0
E92000001,England,nation,2022-06-21,31.0,6002.0,16432.0
E92000001,England,nation,2022-06-20,37.0,5726.0,36452.0
E92000001,England,nation,2022-06-19,32.0,5436.0,0.0
E92000001,England,nation,2022-06-18,31.0,5183.0,0.0
E92000001,England,nation,2022-06-17,31.0,5037.0,12065.0
E92000001,England,nation,2022-06-16,37.0,5008.0,12080.0
E92000001,England,nation,2022-06-15,37.0,4843.0,13401.0
E92000001,England,nation,2022-06-14,26.0,4722.0,12031.0
E92000001,England,nation,2022-06-13,25.0,4602.0,28249.0
E92000001,England,nation,2022-06-12,33.0,4408.0,0.0
E92000001,England,nation,2022-06-11,27.0,4257.0,0.0
E92000001,England,nation,2022-06-10,29.0,4262.0,9217.0
E92000001,England,nation,2022-06-09,18.0,4082.0,9741.0
E92000001,England,nation,2022-06-08,28.0,4096.0,9298.0
E92000001,England,nation,2022-06-07,24.0,4108.0,10240.0
E92000001,England,nation,2022-06-06,34.0,4126.0,29155.0
E92000001,England,nation,2022-06-05,23.0,3965.0,0.0
E92000001,England,nation,2022-06-04,30.0,3835.0,0.0
E92000001,England,nation,2022-06-03,20.0,3849.0,0.0
E92000001,England,nation,2022-06-02,36.0,3841.0,0.0
E92000001,England,nation,2022-06-01,23.0,3800.0,5313.0
E92000001,England,nation,2022-05-31,39.0,4036.0,5802.0
E92000001,England,nation,2022-05-30,40.0,4091.0,13590.0
E92000001,England,nation,2022-05-29,19.0,4018.0,0.0
E92000001,England,nation,2022-05-28,29.0,4013.0,0.0
E92000001,England,nation,2022-05-27,36.0,4197.0,4661.0
E92000001,England,nation,2022-05-26,37.0,4365.0,5293.0
E92000001,England,nation,2022-05-25,25.0,4489.0,5810.0
E92000001,England,nation,2022-05-24,37.0,4639.0,6352.0
E92000001,England,nation,2022-05-23,50.0,5010.0,14592.0
E92000001,England,nation,2022-05-22,41.0,5047.0,0.0
E92000001,England,nation,2022-05-21,35.0,5065.0,0.0
E92000001,England,nation,2022-05-20,52.0,5187.0,6003.0
E92000001,England,nation,2022-05-19,25.0,5356.0,6704.0
E92000001,England,nation,2022-05-18,37.0,5425.0,7388.0
E92000001,England,nation,2022-05-17,55.0,5733.0,8102.0
