areaCode,areaName,areaType,date,totalDeaths,hospitalCases,newCasesByPublishDate
E07000041,Exeter,ltla,2022-07-13,,,494
E07000041,Exeter,ltla,2022-07-12,,,0
E07000041,Exeter,ltla,2022-07-11,,,0
E07000041,Exeter,ltla,2022-07-10,,,0
E07000041,Exeter,ltla,2022-07-09,,,0
E07000041,Exeter,ltla,2022-07-08,,,0
E07000041,Exeter,ltla,2022-07-07,,,0
E07000041,Exeter,ltla,2022-07-06,,,382
E07000041,Exeter,ltla,2022-07-05,,,0
E07000041,Exeter,ltla,2022-07-04,,,0
E07000041,Exeter,ltla,2022-07-03,,,0
E07000041,Exeter,ltla,2022-07-02,,,0
E07000041,Exeter,ltla,2022-07-01,,,61
E07000041,Exeter,ltla,2022-06-30,,,68
E07000041,Exeter,ltla,2022-06-29,,,86
E07000041,Exeter,ltla,2022-06-28,,,67
E07000041,Exeter,ltla,2022-06-27,,,117
E07000041,Exeter,ltla,2022-06-26,,,0
E07000041,Exeter,ltla,2022-06-25,,,0
E07000041,Exeter,ltla,2022-06-24,,,35
E07000041,Exeter,ltla,2022-06-23,,,45
E07000041,Exeter,ltla,2022-06-22,,,43
E07000041,Exeter,ltla,2022-06-21,,,32
E07000041,Exeter,ltla,2022-06-20,,,96
E07000041,Exeter,ltla,2022-06-19,,,0
E07000041,Exeter,ltla,2022-06-18,,,0
E07000041,Exeter,ltla,2022-06-17,,,39
E07000041,Exeter,ltla,2022-06-16,,,45
E07000041,Exeter,ltla,2022-06-15,,,29
E07000041,Exeter,ltla,2022-06-14,,,33
E07000041,Exeter,ltla,2022-06-13,,,95
E07000041,Exeter,ltla,2022-06-12,,,0
E07000041,Exeter,ltla,2022-06-11,,,0
E07000041,Exeter,ltla,2022-06-10,,,24
E07000041,Exeter,ltla,2022-06-09,,,21
E07000041,Exeter,ltla,2022-06-08,,,17
E07000041,Exeter,ltla,2022-06-07,,,24
E07000041,Exeter,ltla,2022-06-06,,,73
E07000041,Exeter,ltla,2022-06-05,,,0
E07000041,Exeter,ltla,2022-06-04,,,0
E07000041,Exeter,ltla,2022-06-03,,,0
E07000041,Exeter,ltla,2022-06-02,,,0
E07000041,Exeter,ltla,2022-06-01,,,22
